id1,id2
34839,202565
55775,111519
55003,94578
164384,228271
30892,122723
200290,70740
200290,162205
37094,259653
38569,26175
14189,183525
75227,110281
76540,95440
233649,182190
57234,126660
137913,122496
68446,33226
4668,168077
164085,22452
153449,22409
164085,91595
53470,226268
53470,155969
53470,152457
237490,97140
30584,39091
237826,181526
72815,229030
127402,227362
180408,24467
42734,117810
121654,163517
121654,229641
129949,146729
119258,227196
55775,174462
205776,5555
101397,86469
15213,233505
107259,133901
222301,115667
7390,219474
102239,258161
22684,100455
146399,175297
227004,257098
105455,214621
182079,53773
64903,5148
6855,125632
114368,91328
229648,234736
181381,240582
158424,135720
229648,3814
198564,49640
244409,27964
74382,236177
195257,248699
160367,52836
199963,15118
199963,173114
247707,57611
8037,208606
182079,173188
113363,83595
168682,97885
51373,82933
112277,37092
24928,28768
179518,50882
3029,122133
3029,166410
179518,142472
89003,62046
100124,25706
149929,26204
158232,95162
208395,18125
156391,252003
168966,221234
85013,242190
187483,19541
44461,13994
55775,235605
55775,203820
55775,165393
79653,183471
116469,21350
39909,186881
57173,81273
219133,59866
54841,212152
154597,186190
194868,260832
61426,69846
7390,44698
1961,256418
221894,242986
57234,250287
241200,256921
233361,59585
140217,186830
238926,248268
79367,229031
38569,162076
53470,138498
42734,148975
57703,12597
78111,8744
129721,127434
194959,182929
119258,5213
170698,35653
112299,234459
222301,174319
11873,82688
76869,162975
55775,119499
162284,194247
216692,42279
141386,114969
62649,203328
68289,134185
146399,215420
223066,86288
131562,178777
156864,144111
239405,227919
22684,75663
166062,203521
144754,111296
38780,227955
256679,46874
58715,142252
260805,216019
136489,93314
140217,190033
166062,79119
6855,45635
76540,241198
173301,25094
64903,204770
48994,19388
229648,116622
59319,145443
105455,257064
245022,35175
212898,193493
232603,224352
94839,150039
209000,143435
208395,203188
48852,70057
180408,86422
170031,160442
247707,146895
6847,200187
244143,200455
15994,199880
154946,172882
4028,172247
238037,257675
133635,6434
167808,137644
66963,51598
244221,225307
168966,164000
250165,58752
215364,127095
8739,95265
26745,58860
162002,191402
225630,58774
167097,244672
194332,162209
55775,69831
205969,31129
76869,127568
61127,106065
113199,197189
57703,57047
196732,238954
159201,147053
67582,195171
173310,195748
82416,49321
30892,122207
130569,143669
96142,36228
113363,136917
95354,91013
217577,134911
217577,147420
130014,105323
98977,51753
120753,234087
103643,111925
245346,126234
120230,255578
227995,245961
240640,180747
159201,214850
31827,29638
194868,177688
67558,208170
241502,136919
179001,200681
242928,65308
125004,173142
104715,141628
104715,177419
164085,127237
61426,138078
181134,61531
202169,22355
42734,187043
134069,259394
257958,137728
64665,51801
188483,105659
194959,125569
231866,108869
100252,103491
150985,198810
150985,140694
46656,42178
100252,76341
194959,45742
164501,36099
21943,212679
25295,29696
164744,184061
196404,244207
99446,153703
99446,78271
181134,218683
194959,499
239625,55216
64015,229680
194959,40228
240640,170930
240640,92359
207678,152740
207678,243292
81346,5223
57636,225901
116469,194609
47806,128942
430,240410
58065,148376
47806,210114
164743,131185
62298,96973
100124,42456
100124,138391
100124,105965
238037,78176
98180,165950
100124,105545
17089,54540
148996,92377
2859,80985
186720,68598
241817,120739
15144,113475
184145,239567
238319,109548
217164,126247
199404,148826
182174,28272
46285,215796
21481,74511
150855,232169
125723,110652
256979,172928
218363,13157
106743,203531
234319,140100
73890,74381
91111,197824
145066,115216
244403,51639
28595,10555
202552,162189
112755,133747
74947,6157
3029,57251
6855,139147
75574,225765
37892,67171
92942,215988
6855,237915
227004,168072
96038,37120
164384,179190
173305,137378
146752,90647
36493,166134
142437,145001
109115,117444
210851,196804
232334,175555
222572,192126
6776,94918
225630,92123
109003,254345
148562,33894
116875,197332
17131,172155
66730,141969
66730,179349
14981,199161
14981,239886
59864,136476
13766,158359
57173,110847
154072,4694
75574,174518
173674,136542
222463,112957
100252,45184
141573,104290
130438,179094
22684,63858
117986,247154
96038,156884
9784,35410
190826,85942
157805,25499
116469,258185
38954,140249
116469,220720
15352,20482
130014,128220
109003,260524
58215,140214
152049,141208
28160,14618
118131,169791
199626,68724
156391,17650
62649,261676
116469,148928
158604,99701
143008,71697
150770,117046
244255,87438
81613,12680
193867,89282
209169,8235
162700,99
119273,167916
105418,239841
40087,145181
129416,1660
129416,76727
29562,260207
68063,167002
65996,34828
239420,251534
170513,191447
90537,36483
15436,121366
148253,221242
8526,153278
211843,93750
157659,55703
208000,9281
221633,81267
221633,147756
192716,78866
192716,129035
54875,43050
194165,111801
251080,130739
166117,18206
185192,223781
225137,60201
215852,68830
25623,138823
182548,248125
153567,254370
30549,143309
162833,255974
56532,107792
197838,241344
245248,251068
245248,98599
152438,72630
8424,79620
28401,167602
121464,250702
211922,16418
28668,155964
239625,12524
244941,125174
235285,52451
88436,8698
140975,99812
22330,9584
22330,161717
22330,235921
22330,176559
163335,244948
22330,238628
22330,219715
22330,96421
22330,40863
132916,230477
150985,187209
150985,171554
237550,42563
223489,119183
147645,260086
233201,63663
185229,86092
133343,41374
157769,123665
162305,86776
127140,70694
194959,138071
22330,173140
22330,37352
81753,259983
178674,45778
37782,190385
260480,202024
260501,185726
65089,1033
25623,233456
244941,190712
244941,15494
244941,158529
30083,249913
194959,60376
230305,108497
1178,18278
230305,160942
138488,226631
98320,51304
71733,247839
199469,202763
153311,32625
22684,185191
219916,164246
195788,235441
119634,198650
77871,154192
1961,83258
68063,130842
170319,12761
122337,41951
241519,256675
134069,192654
260090,251780
134069,96864
143038,36052
143038,115903
143038,31139
143038,114125
143038,50732
131458,186362
96036,173868
54011,195691
131562,117432
54474,206250
205969,131495
120542,203899
74157,63454
102254,112104
124166,219687
152438,138066
77870,232440
133053,91453
21481,234418
168966,67269
243609,64497
42573,208074
147418,74448
150618,135216
36723,212073
36297,78567
230035,2406
36297,117070
163703,30536
98718,123286
121604,205996
20048,25411
260805,172923
53470,109678
246666,152024
243759,235048
55775,198279
202431,232961
119258,121467
240760,154099
245248,75000
188784,221765
91026,183793
91026,241134
91026,97841
38954,15603
143757,100664
223231,216816
43875,20004
170012,241472
245103,88995
135404,256403
69746,250800
221972,250604
54464,43621
212002,148157
125517,62486
223125,196625
174811,5889
174811,160784
101678,42363
162926,65915
108052,200537
108052,87324
108052,211014
108052,76552
108052,170120
49576,171190
159247,17627
129532,135930
129532,247555
152711,232774
129532,254318
129532,195241
166112,239089
166112,138706
174811,147519
228647,166901
100620,81433
100620,132148
46188,171405
46188,23964
39317,149674
26821,41052
1961,256697
96036,46901
147393,193458
172178,10229
132479,217314
42971,79132
151995,34943
67582,130157
184343,123425
44066,202869
126321,12175
20652,239919
176909,131258
239978,8623
86922,253308
15352,62098
51791,108395
78312,121720
78312,237238
138616,66511
149662,9184
46688,123629
97148,171440
230916,255200
8181,198807
256975,49486
121664,37736
24485,32513
100962,162111
28457,9145
233399,204983
87274,64035
187077,130376
119902,104354
154072,86900
93215,202347
77833,197943
102063,112292
172816,158857
36269,57331
7953,250889
238785,133489
144476,238979
218846,220539
150985,108422
193086,173157
138778,96347
211019,41303
56488,87843
142040,98799
135468,110870
35652,135082
124312,146598
143637,253034
16099,242681
74683,187439
16099,16582
47564,182966
39554,98605
237788,100859
245567,192129
146688,90793
158802,183067
192752,77528
166880,199538
224362,64819
38569,12775
249483,129653
90313,23254
90313,203079
186389,225686
15171,226030
74375,82615
87504,218543
37782,16609
4231,236436
120847,206910
219707,5675
199730,129355
101531,197017
146848,221145
146848,70070
71733,193613
14734,206525
121664,28794
208630,3673
142460,201787
111700,20679
111700,178210
124456,441
70216,42497
144100,176703
202552,230970
176898,257920
160882,44999
